companyEmail,companyName,id,instrumentType,regulatoryBody,sectorName,securityName,status,symbol,website,fetched_at,date,source_endpoint
legal@radkat.com.np,Oriental Hotels Limited,149,Equity,Ministry of Tourism,Hotels And Tourism,Oriental Hotels Limited,A,OHL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
esc@esc.com,National Pro. And Eco. Dev. Centre,150,Equity,N/A,Others,National Pro. And Eco. Dev. Centre,D,ESC,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
nfd@nfd.com,Nepal Film Development Company Limited,151,Equity,N/A,Others,Nepal Film Development Company Limited,S,NFD,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@nhpcl.com,National Hydro Power Company Limited,152,Equity,Nepal Hydropower Board,Hydro Power,National Hydro Power Company Limited,A,NHPC,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
hari.budhathoki@bpc.com.np,Butwal Power Company Limited,153,Equity,Nepal Hydropower Board,Hydro Power,Butwal Power Company Limited,A,BPCL,http://www.bpc.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@chilime.com.np,Chilime Hydropower Company Limited,154,Equity,Nepal Hydropower Board,Hydro Power,Chilime Hydropower Company Limited,A,CHCL,www.chilime.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
legalstcnepal@gmail.com,Salt Trading Corporation,155,Equity,Department of Industry,Tradings,Salt Trading Corporation,A,STC,www.stcnepal.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@bishalbazar.com.np,Bishal Bazar Company Limited,156,Equity,Department of Industry,Tradings,Bishal Bazar Company Limited,A,BBC,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
nbck@nbck.com,Nepal Byapar Bikash Company(Koshi) Limited,157,Equity,Department of Industry,Tradings,Nepal Byapar Bikash Company(Koshi) Limited,D,NBCK,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
ntl@ntl.com,Nepal Tading Limited,158,Equity,Department of Industry,Tradings,Nepal Tading Limited,S,NTL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
nwc@nwc.com,Nepal Welfare Company Limited,159,Equity,Department of Industry,Tradings,Nepal Welfare Company Limited,S,NWC,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
nidc@nidc.org.np,NIDC Development Bank Ltd.,160,Equity,Nepal Rastra Bank,Development Banks,NIDC Development Bank Ltd.,D,NIDC,http://www.nidc.org.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
ndb@ndb.com,Nepal Development Bank Limited,161,Equity,Nepal Rastra Bank,Development Banks,Nepal Development Bank Limited,D,NDB,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
dcbl@dcbl.com,Grand Bank Nepal Limited,162,Equity,Nepal Rastra Bank,Commercial Banks,Grand Bank Nepal Limited,D,GRAND,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
rbchaudhary@nirdhan.com.np,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,163,Equity,Nepal Rastra Bank,Microfinance,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,A,NUBL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@chhimekbank.org.np,Chhimek Laghubitta Bittiya Sanstha Limited,164,Equity,Nepal Rastra Bank,Microfinance,Chhimek Laghubitta Bittiya Sanstha Limited,A,CBBL,www.chhimekbank.org,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
pbbl@pbbl.com,Paschimanchal Bikash Bank Limited,165,Equity,Nepal Rastra Bank,Development Banks,Paschimanchal Bikash Bank Limited,D,PDBL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
ddbl@ddbank.org.np,Deprosc Laghubitta Bittiya Sanstha Limited,166,Equity,Nepal Rastra Bank,Microfinance,Deprosc Laghubitta Bittiya Sanstha Limited,A,DDBL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
hop@gandakibank.com,Gandaki Bikas BankLimited,167,Equity,Nepal Rastra Bank,Development Banks,Gandaki Bikas BankLimited,D,GDBL1,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@budbank.com.np,Business Universal Development Bank Ltd.,168,Equity,Nepal Rastra Bank,Development Banks,Business Universal Development Bank Ltd.,D,BUDBL,http://www.budbank.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@sdbl.com.np,Siddhartha Development Bank Ltd.,169,Equity,Nepal Rastra Bank,Development Banks,Siddhartha Development Bank Ltd.,D,SDBL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
vbb@vbb.com,Bhrikuti Vikash Bank Limited,170,Equity,Nepal Rastra Bank,Development Banks,Bhrikuti Vikash Bank Limited,D,BBBL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
RUDRA@sanimabank.com,Sanima Bank Limited,171,Equity,Nepal Rastra Bank,Commercial Banks,Sanima Bank Limited,A,SANIMA,www.sanimabank.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@ndbl.com.np,Narayani Development Bank Limited,172,Equity,Nepal Rastra Bank,Development Banks,Narayani Development Bank Limited,A,NABBC,www.ndbl.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
bdb@bdb.com,Bagheshwori Development Bank Limited,173,Equity,Nepal Rastra Bank,Development Banks,Bagheshwori Development Bank Limited,D,BBBLN,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
sahayogibank@yahoo.com,Sahayogi Bikas Bank Limited,174,Equity,Nepal Rastra Bank,Development Banks,Sahayogi Bikas Bank Limited,D,SBBLJ,http://www.sahayogibank.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@gdbl.com.np,Gurkha Development Bank Limited,175,Equity,Nepal Rastra Bank,Development Banks,Gurkha Development Bank Limited,D,GDBNL,http://www.gdbl.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
nic@nepalinsurance.com.np,Nepal Insurance Co. Ltd.,176,Equity,Nepal Insurance Board,Non Life Insurance,Nepal Insurance Co. Ltd.,A,NICL,www.nepalinsurance.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@rbcl.gov.np,Rastriya Beema Company Limited,177,Equity,Nepal Insurance Board,Non Life Insurance,Rastriya Beema Company Limited,A,RBCL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@nationallife.com.np,National Life Insurance Co. Ltd.,178,Equity,Nepal Insurance Board,Life Insurance,National Life Insurance Co. Ltd.,A,NLICL,www.nationallife.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
subindra.shrestha@hei.com.np,Himalayan Everest Insurance Limited,179,Equity,Nepal Insurance Board,Non Life Insurance,Himalayan Everest Insurance Limited,A,HEI,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@unitedajodinsurance.com,United Ajod Insurance Limited,180,Equity,Nepal Insurance Board,Non Life Insurance,United Ajod Insurance Limited,A,UAIL,www.unitedajodinsurance.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
pradip@eic.com.np,Everest Insurance Co. Ltd.,181,Equity,Nepal Insurance Board,Non Life Insurance,Everest Insurance Co. Ltd.,D,EIC,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
premier@picl.com.np,Siddhartha Premier Insurance Limited,182,Equity,Nepal Insurance Board,Non Life Insurance,Siddhartha Premier Insurance Limited,A,SPIL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@neco.com.np,Neco Insurance Limited,183,Equity,Nepal Insurance Board,Non Life Insurance,Neco Insurance Limited,A,NIL,http://www.neco.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@prabhuinsurance.com,Prabhu Insurance Ltd.,184,Equity,Nepal Insurance Board,Non Life Insurance,Prabhu Insurance Ltd.,A,PRIN,http://www.prabhuinsurance.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
bishow.ad@sagarmathainsurance.com.np,Sagarmatha Lumbini Insurance Co. Limited,185,Equity,Nepal Insurance Board,Non Life Insurance,Sagarmatha Lumbini Insurance Co. Limited,A,SALICO,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
compliance@iginepal.com,IGI Prudential Insurance Limited,186,Equity,Nepal Insurance Board,Non Life Insurance,IGI Prudential insurance Limited,A,IGI,http://www.igiprudential.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@nepallife.com.np,NEPAL LIFE INSURANCE COMPANY LIMITED,187,Equity,Nepal Insurance Board,Life Insurance,Nepal Life Insurance Co. Ltd.,A,NLIC,www.nepallife.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
cs@licnepal.com.np,Life Insurance Corporation (Nepal) Limited,188,Equity,Nepal Insurance Board,Life Insurance,Life Insurance Corporation (Nepal) Limited,A,LICN,http://www.licnepal.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@pil.com.np,Prudential Insurance Co. Ltd.,189,Equity,Nepal Insurance Board,Non Life Insurance,Prudential Insurance Co. Ltd.,D,PICL,http://www.pil.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
devendra@lgic.com.np,Lumbini General Insurance Co. Ltd.,190,Equity,Nepal Insurance Board,Non Life Insurance,Lumbini General Insurance Co. Ltd.,D,LGIL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@shikharinsurance.com,Shikhar Insurance Co. Ltd.,192,Equity,Nepal Insurance Board,Non Life Insurance,Shikhar Insurance Co. Ltd.,A,SICL,http://www.shikharinsurance.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
msm@msm.com,Morang Sugar Mills Limited,193,Equity,Department of Industry,Manufacturing And Processing,Morang Sugar Mills Limited,D,MSM,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@nepalfinance.com.np,Nepal Finance Ltd.,194,Equity,Nepal Rastra Bank,Finance,Nepal Finance Ltd.,A,NFS,www.nepalfinancelimited.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
prburma@coca-cola.com.np,Bottlers Nepal (Balaju) Limited,195,Equity,Department of Industry,Manufacturing And Processing,Bottlers Nepal (Balaju) Limited,A,BNL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@ncml.com.np,NIDC Capital Markets Ltd.,196,Equity,Nepal Rastra Bank,Finance,NIDC Capital Markets Ltd.,D,NCM,http://www.ncml.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
bjm@bjm.com,Biratnagar Jute Mills Limited,197,Equity,Department of Industry,Manufacturing And Processing,Biratnagar Jute Mills Limited,D,BJM,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
g.bhattarai@cg.holdings,Nepal Lube Oil Limited,198,Equity,Department of Industry,Manufacturing And Processing,Nepal Lube Oil Limited,A,NLO,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@nnfl.com.np,Narayani National Finance Limited,199,Equity,Nepal Rastra Bank,Finance,Narayani National Finance Limited,D,NNFC,http://www.nnfl.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
nsm@nsm.com,Nepal Share Markets Ltd.,200,Equity,Nepal Rastra Bank,Finance,Nepal Share Markets Ltd.,S,NSM,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
nvg@nvg.com,Nepal Vanaspati Ghee Udhyog Limited,201,Equity,Department of Industry,Manufacturing And Processing,Nepal Vanaspati Ghee Udhyog Limited,S,NVG,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
subashghimire@kailashbank.com,Kailash Bikas Bank Ltd.,202,Equity,Nepal Rastra Bank,Development Banks,Kailash Bikas Bank Ltd.,D,KBBL,http://www.kailashbank.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
account@srjml.com.np,Raghupati Jute Mills Limited,203,Equity,Department of Industry,Manufacturing And Processing,Raghupati Jute Mills Limited,S,RJM,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
deepak.neupane@gurkhasfinance.com.np,Gurkhas Finance Ltd.,204,Equity,Nepal Rastra Bank,Finance,Gurkhas Finance Ltd.,A,GUFL,www.gurkhasfinance.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
bsm@bsm.com,Butwal Spinning Mills Limited,205,Equity,Department of Industry,Manufacturing And Processing,Butwal Spinning Mills Limited,S,BSM,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
pfcl@pfcl.com,Peoples Finance Ltd.,206,Equity,Nepal Rastra Bank,Finance,Peoples Finance Ltd.,D,PFCL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
gru@gru.com,Gorakhkali Rubber Udhyog Limited,207,Equity,Department of Industry,Manufacturing And Processing,Gorakhkali Rubber Udhyog Limited,S,GRU,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
ufl@union.com.np,Union Finance Co. Ltd.,208,Equity,Nepal Rastra Bank,Finance,Union Finance Co. Ltd.,D,UFCL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
jsm@jsm.com,Jyoti Sinning Mills Limited,209,Equity,Department of Industry,Manufacturing And Processing,Jyoti Sinning Mills Limited,S,JSM,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
cit.cmkt@gmail.com,Citizen Investment Trust,210,Equity,Nepal Rastra Bank,Investment,Citizen Investment Trust,A,CIT,nlk.org.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
avu@avu.com,Arun Vanaspati Udhyog Limited,211,Equity,Department of Industry,Manufacturing And Processing,Arun Vanaspati Udhyog Limited,S,AVU,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
nabb@nabb.com,Nepal Aawas Finance Limited,212,Equity,Nepal Rastra Bank,Finance,Nepal Aawas Finance Limited,D,NABB,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
investorrelations@coca-cola.com.np,Bottlers Nepal (Terai) Limited,213,Equity,Department of Industry,Manufacturing And Processing,Bottlers Nepal (Terai) Limited,A,BNT,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
nfl@nfl.com,Narayani Finance Ltd.,214,Equity,Nepal Rastra Bank,Finance,Narayani Finance Ltd.,D,NFL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
hbt@hbt.com,Harisiddhi Brick And Tiles Limited,215,Equity,Department of Industry,Manufacturing And Processing,Harisiddhi Brick And Tiles Limited,S,HBT,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@ace.com.np,Ace Development Bank Ltd.,216,Equity,Nepal Rastra Bank,Development Banks,Ace Development Bank Ltd.,D,ACEDBL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
bsl@bsl.com,Birat Shoe Limited,217,Equity,Department of Industry,Manufacturing And Processing,Birat Shoe Limited,S,BSL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
yfl@yfl.com,Yeti Finance Ltd.,218,Equity,Nepal Rastra Bank,Finance,Yeti Finance Ltd.,D,YFL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
unl.shareholdersconnect@unilever.com,Unilever Nepal Limited,219,Equity,Department of Industry,Manufacturing And Processing,Unilever Nepal Limited,A,UNL,https://www.unilevernepal.com/,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
gflk@gflk.com,Gorkha Finance Ltd.,220,Equity,Nepal Rastra Bank,Finance,Gorkha Finance Ltd.,D,GFLK,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
sfc@sfc.com,Samjhana Finance Co. Ltd.,221,Equity,Nepal Rastra Bank,Finance,Samjhana Finance Co. Ltd.,S,SFC,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
nku@nku.com,Nepal Khadya Udhyog Limited,222,Equity,Department of Industry,Manufacturing And Processing,Nepal Khadya Udhyog Limited,S,NKU,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
uflk@uflk.com,Universal Finance Ltd.,223,Equity,Nepal Rastra Bank,Finance,Universal Finance Ltd.,D,UFLK,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
htu@htu.com,Himgiri Textile Industries Limited,224,Equity,Department of Industry,Manufacturing And Processing,Himgiri Textile Industries Limited,D,HTL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
nhmf@nhmf.com,Nepal Housing & Merchant Finance Ltd.,225,Equity,Nepal Rastra Bank,Finance,Nepal Housing & Merchant Finance Ltd.,D,NHMF,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
sbpp@sbpp.com,Shree Bhrikuti Pulp And Paper Limited,226,Equity,Department of Industry,Manufacturing And Processing,Shree Bhrikuti Pulp And Paper Limited,S,SBPP,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@bestfinance.com.np,Best Finance Company Ltd.,227,Equity,Nepal Rastra Bank,Finance,Best Finance Company Ltd.,A,BFC,www.bestfinance.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
fhl@fhl.com,Fleur Himalayan Limited,228,Equity,Department of Industry,Manufacturing And Processing,Fleur Himalayan Limited,S,FHL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@mahalaxmi.com.np,Maha Laxmi Finance Ltd.,229,Equity,Nepal Rastra Bank,Finance,Maha Laxmi Finance Ltd.,D,MFL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
srs@srs.com,Shree Ram Sugar Mills Limited,230,Equity,Department of Industry,Manufacturing And Processing,Shree Ram Sugar Mills Limited,S,SRS,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
lfc@lfc.com,Lalitpur Finance Ltd.,231,Equity,Nepal Rastra Bank,Finance,Lalitpur Finance Ltd.,D,LFC,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@goodwill.net.np,Goodwill Finance Limited,232,Equity,Nepal Rastra Bank,Finance,Goodwill Finance Limited,A,GFCL,https://goodwillfinance.com.np/,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
nbbu@nbbu.com,Nepal Bitumin And Barrel Udhyog Limited,233,Equity,Department of Industry,Manufacturing And Processing,Nepal Bitumin And Barrel Udhyog Limited,S,NBBU,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
paficol@gmail.com,Paschimanchal Finance Co. Ltd.,234,Equity,Nepal Rastra Bank,Finance,Paschimanchal Finance Co. Ltd.,D,PFC,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@himalayandistillery.com,Himalayan Distillery Limited,235,Equity,Department of Industry,Manufacturing And Processing,Himalayan Distillery Limited,A,HDL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@pokharafinance.com.np,Pokhara Finance Ltd.,236,Equity,Nepal Rastra Bank,Finance,Pokhara Finance Ltd.,A,PFL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
lufil@mos.com.np,Lumbini Finance Ltd.,237,Equity,Nepal Rastra Bank,Finance,Lumbini Finance Ltd.,D,LFLC,http://www.lumbinifinance.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
pramod.dahal@nmb.com.np,NMB Bank Limited,238,Equity,Nepal Rastra Bank,Commercial Banks,NMB Bank Limited,A,NMB,http://www.nmb.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
sfl.bhwa@gmail.com,Siddharth Finance Ltd.,239,Equity,Nepal Rastra Bank,Finance,Siddharth Finance Ltd.,D,SFL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
abc@abc.com,Alpic Everest Finance Co. Ltd.,240,Equity,Nepal Rastra Bank,Finance,Alpic Everest Finance Co. Ltd.,D,AEFL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
abc@abc.com,Nepal Bangladesh Finance & Leasing Co. Ltd.,241,Equity,Nepal Rastra Bank,Finance,Nepal Bangladesh Finance & Leasing Co. Ltd.,D,NBFL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
shesh.dhungana@ufl.com.np,United Finance Ltd.,242,Equity,Nepal Rastra Bank,Finance,United Finance Ltd.,D,UFL,http://www.ufl.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@ilfco.com.np,International Leasing & Finance Co. Ltd.,243,Equity,Nepal Rastra Bank,Finance,International Leasing & Finance Co. Ltd.,D,ILFC,http://www.ilfco.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@shreefinance.com.np,Shree Investment Finance Co. Ltd.,244,Equity,Nepal Rastra Bank,Finance,Shree Investment Finance Co. Ltd.,A,SIFC,http://www.shreefinance.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@centralfinance.com.np,Central Finance Co. Ltd.,245,Equity,Nepal Rastra Bank,Finance,Central Finance Co. Ltd.,A,CFCL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
abc@abc.com,Nepal Shree Lanka Merchant Banking & Finance Ltd,246,Equity,Nepal Rastra Bank,Finance,Nepal Shree Lanka Merchant Banking & Finance Ltd,D,NSLMB,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
abc@abc.com,Premier Finance Co. Ltd.,247,Equity,Nepal Rastra Bank,Finance,Premier Finance Co. Ltd.,D,PFCLL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
abc@abc.com,Nava Durga Finance Co. Ltd.,248,Equity,Nepal Rastra Bank,Finance,Nava Durga Finance Co. Ltd.,D,NDFL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
abc@abc.com,Synergy Finance Ltd.,249,Equity,Nepal Rastra Bank,Finance,Synergy Finance Ltd.,D,SYFL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@jfcjanakpur.com,Janaki Finance Company Limited,250,Equity,Nepal Rastra Bank,Finance,Janaki Finance Company Limited,A,JFL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
abc@abc.com,Standard Finance Ltd.,251,Equity,Nepal Rastra Bank,Finance,Standard Finance Ltd.,D,STFL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@omfinance.com,Om Finance Ltd.,252,Equity,Nepal Rastra Bank,Finance,Om Finance Ltd.,D,OFL,http://www.omfinance.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
cmbfl@wlink.com.np,CMB Finance Limited,253,Equity,Nepal Rastra Bank,Finance,CMB Finance Limited,D,CMBF,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
avu@avu.com,Fewa Finance Co. Ltd.,254,Equity,Nepal Rastra Bank,Finance,Fewa Finance Co. Ltd.,D,FFCL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
amit.bhandari@prabhubank.com,Prabhu  Bank Limited,255,Equity,Nepal Rastra Bank,Commercial Banks,Prabhu  Bank Limited,A,PRVU,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
cs@sfcl.com.np,Samriddhi Finance Company Limited,256,Equity,Nepal Rastra Bank,Finance,Samriddhi Finance Company Limited,A,SFCL,http://www.wmerchantbank.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
avu@avu.com,Birgunj Finance Ltd.,257,Equity,Nepal Rastra Bank,Finance,Birgunj Finance Ltd.,D,BJFL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
efl@efl.com.np,Everest Finance Ltd.,258,Equity,Nepal Rastra Bank,Finance,Everest Finance Ltd.,D,EFL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
avu@avu.com,Capital Merchant Bank & Finance Co. Ltd.,259,Equity,Nepal Rastra Bank,Finance,Capital Merchant Bank & Finance Co. Ltd.,S,CMB,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@pbsl.com.np,Prudential Finance Company Limited,260,Equity,Nepal Rastra Bank,Finance,Prudential Finance Company Limited,D,PFIL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
